Seat ID,Demand Partner,Deal ID,Private Deal,Bid Requests,Bid Responses,Imps,Revenue,Bid eCPM,Bidfloor,Win Rate
16,Google DV360,VDMY_AL_24055,Yes,543120,0,0,$ 0.00,$ 0.00,$ 5.75,0.00 %
80,MediaMath,VDMY_CD_98734,Yes,491040,0,0,$ 0.00,$ 0.00,$ 3.00,0.00 %
16,Google DV360,VDMY_IP_70166,Yes,431520,0,0,$ 0.00,$ 0.00,$ 4.50,0.00 %
80,MediaMath,VDMY_CA_10531,Yes,414780,0,0,$ 0.00,$ 0.00,$ 3.00,0.00 %
80,MediaMath,VDMY_CA_10532,Yes,386880,0,0,$ 0.00,$ 0.00,$ 3.00,0.00 %
16,Google DV360,VDMY_IP_10007,Yes,345960,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_HV_70199,Yes,319920,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_IP_90435,Yes,264120,14880,7618,$ 30.47,$ 4.50,$ 4.00,2.88 %
16,Google DV360,VDMY_HV_62788,Yes,247380,0,72,$ 0.36,$ 0.00,$ 5.00,0.03 %
16,Google DV360,VDMY_263671337,Yes,230640,9300,8504,$ 34.02,$ 4.50,$ 4.00,3.69 %
16,Google DV360,VDMY_PR_92383,Yes,204600,5580,3170,$ 15.85,$ 5.15,$ 5.00,1.55 %
16,Google DV360,VDMY_MT_22599,Yes,189720,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_IP_33111,Yes,186000,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_PU_90002,Yes,178560,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_PU_90001,Yes,172980,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
364,Eskimi,VDMY_ES_70001,Yes,104160,0,0,$ 0.00,$ 0.00,$ 2.16,0.00 %
16,Google DV360,VDMY_262853720,Yes,100440,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_ST_61513,Yes,85560,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
80,MediaMath,VDMY_CD_23442,Yes,65100,0,0,$ 0.00,$ 0.00,$ 3.00,0.00 %
16,Google DV360,VDMY_CD_42113,Yes,57660,0,0,$ 0.00,$ 0.00,$ 3.47,0.00 %
16,Google DV360,VDMY_264796581,Yes,48360,11160,4221,$ 16.88,$ 4.00,$ 4.00,8.73 %
16,Google DV360,VDMY_263895789,Yes,29760,18600,14810,$ 74.05,$ 19.20,$ 5.00,49.76 %
16,Google DV360,VDMY_266730026,Yes,27900,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
80,MediaMath,VDMY_IP_64042,Yes,14880,5580,2726,$ 17.72,$ 10.00,$ 6.50,18.32 %
80,MediaMath,VDMY_IS_52988,Yes,1860,0,0,$ 0.00,$ 0.00,$ 6.50,0.00 %
80,MediaMath,VDMY_IS_18925,Yes,1860,0,5,$ 0.03,$ 0.00,$ 5.70,0.27 %
80,MediaMath,VDMY_266246958,Yes,1860,0,0,$ 0.00,$ 0.00,$ 3.50,0.00 %
80,MediaMath,VDMY_OM_56879,Yes,0,0,0,$ 0.00,$ 0.00,$ 0.00,0.00 %
80,MediaMath,VDMY_LA_19386,Yes,0,0,0,$ 0.00,$ 0.00,$ 0.00,0.00 %
80,MediaMath,VDMY_264975775,Yes,0,0,0,$ 0.00,$ 0.00,$ 0.00,0.00 %
80,MediaMath,VDMY_264813038,Yes,0,0,0,$ 0.00,$ 0.00,$ 0.00,0.00 %
74,Verizon Media DSP,VDMY_OM_47335,Yes,0,0,0,$ 0.00,$ 0.00,$ 0.00,0.00 %
