Dominio, Supply Partner, FL Antes de Ayer, FL Ayer, Cambio, Revenue Antes de Ayer, Revenue Ayer
canalnet.tv, GrupoPerfil, 122199, 42101, 65.55%, $20.79, $5.22
guatemala.com, guatemala, 86763, 43750, 49.58%, $28.19, $11.73
eluniversal.cl, thetimeschile, 68336, 30702, 55.07%, $6.06, $10.79
etapainfantil.com, etapainfantil, 30010, 11268, 62.45%, $18.13, $8.63
24nyt.dk, 24nyt, 16923, 6926, 59.07%, $1.95, $0.38
