"SspId","BidRequests","Responses","Impressions","Cost","Revenue","Profit","BidRequestAvoided","Blocked"
"62201","2568608129","9179549","1468426","19461.875624008626","30363.144749189316","10901.26912518069","0","6496447"
"62133","4465112415","33410211","2991735","16412.83401040723","23446.90572915318","7034.071718745949","0","126357967"
"62170","3265333263","9752485","4988839","14923.016887932872","21318.595554189826","6395.5786662569535","0","98108189"
"62181","1546242923","112414142","32293896","8193.266712565879","11704.666732236972","3511.400019671093","0","849965"
"62169","3614734583","215721973","48922507","6393.755130964144","9133.935901377356","2740.1807704132116","0","566698292"
"62209","919212233","2475087","536239","7524.847046833592","10062.127873363612","2537.28082653002","0","171502677"
"62210","1998469540","15991383","6523717","5373.95756647696","7629.22265150426","2255.2650850273003","0","312245279"
"62186","1439269449","14360414","3511107","5143.466449275476","7156.503299028256","2013.0368497527797","0","1565073"
"62220","292085176","573888","472305","6472.014297892622","8203.136736492477","1731.1224385998548","0","569233"
"62140","619759058","21438026","1484800","3275.8619578659664","4679.802796951383","1403.9408390854169","0","0"
"62155","2759634729","11051480","2203356","3389.9610957807863","4780.3579729347275","1390.3968771539412","0","746080857"
"62183","3640443388","71635102","17903484","3854.1981227392052","4950.550601814469","1096.3524790752635","0","765712818"
"62157","2578105470","145852749","9613485","2346.859128243081","3352.6558974901236","1005.7967692470424","0","7838209"
"62178","506879601","55406678","3025139","1814.3556397125553","2591.93662816079","777.5809884482346","0","17876"
"62199","3175773461","58108571","9579216","8217.69529109522","8879.66894837901","661.9736572837901","0","98665229"
"10","3655596252","75353975","3199231","3024.2994642593076","3510.407469029426","486.10800477011844","0","0"
"62163","1636424741","1148081","439717","1026.9297710968365","1421.3938834968499","394.4641124000134","0","170770101"
"62139","316617284","7522800","5357142","794.929389111259","1059.905852148346","264.976463037087","0","17468013"
"62150","666066545","39827258","927685","520.1052675224756","743.0075250321094","222.90225750963373","0","0"
"62211","839781045","16585220","13818","381.7714804118129","545.3878291597315","163.6163487479186","0","616015851"
"62180","770097522","8553157","440972","828.1428020714246","988.3520415720992","160.20923950067458","0","47"
"62159","350628265","417494","249922","693.8776792813397","816.3266815074572","122.4490022261175","0","504634"
"62165","372155912","7264067","1149390","341.40401204411694","455.205349392156","113.80133734803906","0","361"
"11","28166608","4028781","2297169","166.59745721950958","237.9963674564421","71.39891023693252","0","15"
"62196","398097259","5246297","177106","81.41434527483894","95.78158267628115","14.36723740144221","0","23759716"
"62153","21765452","25760","22127","36.793507472999984","43.28647937999995","6.492971906999969","0","1627272"
"62198","15868804","19398","14235","24.884250218018195","29.275588491786134","4.391338273767939","0","75651"
"62156","97752889","317193","51934","22.616238479610928","26.60733938777751","3.991100908166583","0","2736"
"62168","62240015","1353550","7206","7.557895647983793","9.447369559979737","1.8894739119959443","0","70"
"62143","266628","1054","759","0.4574858302387302","0.5382186238102713","0.08073279357154112","0","45100"
"51743","1200524116","11589339","1059089","335.77385686307775","335.77385686307775","0","0","93998252"
"57205","14653630","2592","269","0.5351575938368502","0.5351575938368502","0","0","0"
"62135","1700609963","96307554","6813978","1453.0064036530553","1453.0064036530553","0","0","3979210"
"62146","173541416","435704","140509","386.71849153995925","386.71849153995925","0","0","0"
"62151","83732662","378266","34150","28.98565268364519","28.98565268364519","0","0","0"
"62158","20673263","715203","687986","72.28137450768442","72.28137450768442","0","0","26230"
"62160","0","0","0","0","0","0","0","1"
"62162","11","0","0","0","0","0","0","0"
"62164","91951629","118998","92528","219.95574059244046","219.95574059244046","0","0","139"
"62167","229024285","3918401","736828","292.62156232593924","292.62156232593924","0","0","1276"
"62171","727078","3278","1737","3.3459008181716126","3.3459008181716126","0","0","5"
"62172","1483640","3134","1839","3.692353922979929","3.692353922979929","0","0","0"
"62175","3","3","0","0","0","0","0","0"
"62177","52727","1455","1","0.000071893","0.000071893","0","0","0"
"62184","1067439900","15269535","2744324","535.0287546287034","535.0287546287034","0","0","887398"
"62188","8361261","321340","164075","98.61923058095557","98.61923058095557","0","0","5"
"62193","512362","6","3","0.014880648078806874","0.014880648078806874","0","0","1520"
"62200","63475292","128701","83940","593.4950813018959","593.4950813018959","0","0","595561"
"62206","10","5","5","0.0005","0.0005","0","0","0"
"62212","1091602","4026","3870","85.13135731500005","85.13135731500005","0","0","5"
"62214","1357279410","30212416","392148","275.40561992510504","275.40561992510504","0","0","4237"
"62217","43199937","1774096","101650","184.49019601537375","184.49019601537375","0","0","100275"
"62223","1052436","13983","13369","158.85192512700002","158.85192512700002","0","0","79389"
"62231","0","0","0","0","0","0","0","38791"
"62232","24","4","2","0.0002","0.0002","0","0","12"
"62236","64","32","6","0.0006000000000000001","0.0006000000000000001","0","0","36"
"62237","140552661","7764124","165061","30.35943444763539","30.35943444763539","0","0","868"
"8","4","4","0","0","0","0","0","0"
