Seat ID,Demand Partner,Deal ID,Private Deal,Bid Requests,Bid Responses,Imps,Revenue,Bid eCPM,Bidfloor,Win Rate
16,Google DV360,VDMY_447115080,Yes,6924780,0,0,$ 0.00,$ 0.00,$ 9.93,0.00 %
16,Google DV360,VDMY_483276872,Yes,6874560,31620,15262,$ 83.94,$ 5.67,$ 5.50,0.22 %
16,Google DV360,VDMY_362986613,Yes,6833640,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_413124890,Yes,6787140,0,0,$ 0.00,$ 0.00,$ 4.90,0.00 %
16,Google DV360,VDMY_364436899,Yes,6588120,0,0,$ 0.00,$ 0.00,$ 4.50,0.00 %
16,Google DV360,VDMY_440864984,Yes,6578820,0,0,$ 0.00,$ 0.00,$ 0.01,0.00 %
16,Google DV360,VDMY_450933884,Yes,6398400,40920,10344,$ 50.69,$ 5.00,$ 4.90,0.16 %
16,Google DV360,VDMY_313817418,Yes,6031980,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_482436664,Yes,6005940,0,0,$ 0.00,$ 0.00,$ 4.30,0.00 %
16,Google DV360,VDMY_442222688,Yes,6000360,0,0,$ 0.00,$ 0.00,$ 5.50,0.00 %
16,Google DV360,VDMY_IP_16541,Yes,5979900,0,0,$ 0.00,$ 0.00,$ 4.50,0.00 %
16,Google DV360,VDMY_523150134,Yes,5940840,89280,51440,$ 200.62,$ 4.02,$ 3.90,0.87 %
16,Google DV360,VDMY_353190474,Yes,5938980,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_PH_11103,Yes,5927820,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_317811527,Yes,5808780,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_419058457,Yes,5801340,0,0,$ 0.00,$ 0.00,$ 4.50,0.00 %
16,Google DV360,VDMY_BY_11855,Yes,5795760,0,0,$ 0.00,$ 0.00,$ 4.10,0.00 %
16,Google DV360,VDMY_272180748,Yes,5766000,0,0,$ 0.00,$ 0.00,$ 4.90,0.00 %
16,Google DV360,VDMY_400625595,Yes,5762280,13020,3826,$ 19.13,$ 5.15,$ 5.00,0.07 %
16,Google DV360,VDMY_497725308,Yes,5749260,0,0,$ 0.00,$ 0.00,$ 6.20,0.00 %
16,Google DV360,VDMY_372676805,Yes,5738100,0,0,$ 0.00,$ 0.00,$ 5.34,0.00 %
