Seat ID,Demand Partner,Deal ID,Private Deal,Bid Requests,Bid Responses,Imps,Revenue,Bid eCPM,Bidfloor,Win Rate
16,Google DV360,VDMY_512889418,Yes,53967900,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_412716507,Yes,31296360,0,0,$ 0.00,$ 0.00,$ 3.25,0.00 %
16,Google DV360,VDMY_447619091,Yes,30226860,0,0,$ 0.00,$ 0.00,$ 3.20,0.00 %
16,Google DV360,VDMY_501620331,Yes,23642460,0,0,$ 0.00,$ 0.00,$ 6.25,0.00 %
16,Google DV360,VDMY_490025372,Yes,23328120,0,1117,$ 6.81,$ 0.00,$ 6.10,0.00 %
16,Google DV360,VDMY_464865824,Yes,23021220,290160,70326,$ 225.04,$ 3.30,$ 3.20,0.31 %
74,Yahoo DSP,VDMY_387888938,Yes,21695040,74400,26889,$ 107.56,$ 8.33,$ 4.00,0.12 %
16,Google DV360,VDMY_483517831,Yes,21585300,31620,19909,$ 79.64,$ 4.12,$ 4.00,0.09 %
16,Google DV360,VDMY_475224467,Yes,20221920,0,0,$ 0.00,$ 0.00,$ 5.90,0.00 %
16,Google DV360,VDMY_523150134,Yes,20207040,85560,47583,$ 185.57,$ 4.02,$ 3.90,0.24 %
16,Google DV360,VDMY_470270919,Yes,19987560,0,0,$ 0.00,$ 0.00,$ 3.30,0.00 %
16,Google DV360,VDMY_462275609,Yes,19756920,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_464999684,Yes,19503960,398040,77477,$ 247.93,$ 3.30,$ 3.20,0.40 %
16,Google DV360,VDMY_387380385,Yes,19273320,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_521524640,Yes,19063140,0,0,$ 0.00,$ 0.00,$ 4.30,0.00 %
16,Google DV360,VDMY_500310441,Yes,18886440,31620,14765,$ 72.35,$ 5.05,$ 4.90,0.08 %
16,Google DV360,VDMY_394453335,Yes,18531180,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_373627698,Yes,17978760,20460,8192,$ 35.23,$ 4.43,$ 4.30,0.05 %
16,Google DV360,VDMY_501326752,Yes,17325900,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
80,MediaMath,VDMY_443216258,Yes,16669320,0,0,$ 0.00,$ 0.00,$ 6.50,0.00 %
16,Google DV360,VDMY_517958698,Yes,16250820,5580,4497,$ 26.98,$ 6.18,$ 6.00,0.03 %
16,Google DV360,VDMY_433440878,Yes,15132960,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_501414378,Yes,15008340,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_524424492,Yes,15000900,0,0,$ 0.00,$ 0.00,$ 6.10,0.00 %
16,Google DV360,VDMY_467127602,Yes,14772120,5580,214,$ 0.92,$ 4.43,$ 4.30,0.00 %
16,Google DV360,VDMY_503749587,Yes,12287160,22320,14759,$ 73.80,$ 5.05,$ 5.00,0.12 %
16,Google DV360,VDMY_524586761,Yes,11537580,0,0,$ 0.00,$ 0.00,$ 6.17,0.00 %
16,Google DV360,VDMY_414660440,Yes,11338560,0,0,$ 0.00,$ 0.00,$ 3.20,0.00 %
16,Google DV360,VDMY_377021709,Yes,11173020,18600,9347,$ 46.73,$ 5.06,$ 5.00,0.08 %
16,Google DV360,VDMY_394877386,Yes,11148840,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
