Seat ID,Demand Partner,Deal ID,Private Deal,Bid Requests,Bid Responses,Imps,Revenue,Bid eCPM,Bidfloor,Win Rate
16,Google DV360,VDMY_322758496,Yes,1783740,83700,52576,$ 315.46,$ 7.19,$ 6.00,2.95 %
16,Google DV360,VDMY_OM_72398,Yes,1774440,0,110,$ 0.55,$ 0.00,$ 5.00,0.01 %
16,Google DV360,VDMY_281954241,Yes,1768860,0,0,$ 0.00,$ 0.00,$ 5.39,0.00 %
16,Google DV360,VDMY_273886640,Yes,1740960,0,0,$ 0.00,$ 0.00,$ 4.50,0.00 %
16,Google DV360,VDMY_323212499,Yes,1739100,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_HA_99831,Yes,1718640,0,0,$ 0.00,$ 0.00,$ 9.61,0.00 %
80,MediaMath,VDMY_MM_781812,Yes,1577280,0,0,$ 0.00,$ 0.00,$ 3.00,0.00 %
16,Google DV360,VDMY_324387388,Yes,1564260,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_274756288,Yes,1519620,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_315014189,Yes,1512180,81840,33463,$ 272.05,$ 13.10,$ 8.13,2.28 %
16,Google DV360,NRE_OM_91457,Yes,1502880,0,0,$ 0.00,$ 0.00,$ 5.44,0.00 %
16,Google DV360,VDMY_294233993,Yes,1486140,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_282415702,Yes,1486140,0,0,$ 0.00,$ 0.00,$ 4.30,0.00 %
16,Google DV360,VDMY_299046647,Yes,1467540,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_290890867,Yes,1458240,1860,3509,$ 17.19,$ 6.24,$ 4.90,0.24 %
16,Google DV360,VDMY_HV_91101,Yes,1430340,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_HV_34254,Yes,1398720,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
80,MediaMath,VDMY_355082109,Yes,1395000,7440,4055,$ 26.36,$ 6.50,$ 6.50,0.29 %
80,MediaMath,VDMY_285341663,Yes,1331760,0,0,$ 0.00,$ 0.00,$ 6.50,0.00 %
16,Google DV360,VDMY_318997082,Yes,1326180,5580,5022,$ 24.11,$ 5.15,$ 4.80,0.38 %
16,Google DV360,VDMY_283047258,Yes,1205280,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_320094745,Yes,1179240,0,0,$ 0.00,$ 0.00,$ 3.25,0.00 %
16,Google DV360,VDMY_292877848,Yes,1171800,11160,6513,$ 32.56,$ 5.15,$ 5.00,0.56 %
16,Google DV360,VDMY_261594903,Yes,1166220,0,0,$ 0.00,$ 0.00,$ 4.25,0.00 %
