Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
12/24/2021,JRU_OportunidadesCanarias_ES_All_CPV_USD:0.0079_EUR:0.007_GeoIP:ES_vtr:70_va:80_Tirma__200.000_31Dic,8712,3412,3075,2896,2752,2565,2870,5,20.2635,4.0527,16.2108
12/25/2021,JRU_OportunidadesCanarias_ES_All_CPV_USD:0.0079_EUR:0.007_GeoIP:ES_vtr:70_va:80_Tirma__200.000_31Dic,10928,4322,3889,3637,3424,3270,3716,8,25.833,5.1666,20.6664
12/26/2021,JRU_OportunidadesCanarias_ES_All_CPV_USD:0.0079_EUR:0.007_GeoIP:ES_vtr:70_va:80_Tirma__200.000_31Dic,8906,4448,3983,3777,3563,3386,3650,4,26.7494,5.34988,21.39952
