Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
22/12/2021,JOS_DKManagement_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:70_va:80_CentrosComerciales_SanMarino_75.240_6Ene,561,361,336,322,311,301,300,1,"7,53",0,"7,53"
23/12/2021,JOS_DKManagement_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:70_va:80_CentrosComerciales_SanMarino_75.240_6Ene,577,371,346,331,318,304,305,1,"7,61",0,"7,61"
24/12/2021,JOS_DKManagement_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:70_va:80_CentrosComerciales_SanMarino_75.240_6Ene,595,377,351,332,316,302,318,2,"7,55",0,"7,55"
25/12/2021,JOS_DKManagement_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:70_va:80_CentrosComerciales_SanMarino_75.240_6Ene,724,371,344,328,314,301,310,1,"7,53",0,"7,53"
26/12/2021,JOS_DKManagement_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:70_va:80_CentrosComerciales_SanMarino_75.240_6Ene,706,372,348,329,315,302,323,2,"7,55",0,"7,55"
27/12/2021,JOS_DKManagement_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:70_va:80_CentrosComerciales_SanMarino_75.240_6Ene,790,372,349,330,315,303,315,1,"7,57",0,"7,57"
28/12/2021,JOS_DKManagement_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:70_va:80_CentrosComerciales_SanMarino_75.240_6Ene,579,378,348,327,315,302,331,1,"7,56",0,"7,56"
29/12/2021,JOS_DKManagement_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:70_va:80_CentrosComerciales_SanMarino_75.240_6Ene,477,282,265,254,242,233,245,3,"5,82",0,"5,82"
