Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
27/12/2021,ANB_T2O_ES_Directo_CPV_USD:0.032_EUR:0.028_GeoIP:ES_vtr:70_va:80_Orange_MobileOnly_14.535_31Dic,12.481,6209,5716,5413,5144,4921,5160,10,"157,472","62,9888","94,4832"
28/12/2021,ANB_T2O_ES_Directo_CPV_USD:0.032_EUR:0.028_GeoIP:ES_vtr:70_va:80_Orange_MobileOnly_14.535_31Dic,9.479,6190,5643,5367,5116,4901,5119,14,"156,832","62,7328","94,0992"
29/12/2021,ANB_T2O_ES_Directo_CPV_USD:0.032_EUR:0.028_GeoIP:ES_vtr:70_va:80_Orange_MobileOnly_14.535_31Dic,11.730,2878,2689,2567,2452,2344,2288,7,"75,008","30,0032","45,0048"
30/12/2021,ANB_T2O_ES_Directo_CPV_USD:0.032_EUR:0.028_GeoIP:ES_vtr:70_va:80_Orange_MobileOnly_14.535_31Dic,4.422,1692,1562,1492,1433,1374,1355,3,"43,968","17,5872","26,3808"
31/12/2021,ANB_T2O_ES_Directo_CPV_USD:0.032_EUR:0.028_GeoIP:ES_vtr:70_va:80_Orange_MobileOnly_14.535_31Dic,3.815,1795,1648,1565,1491,1437,1457,3,"45,984","18,3936","27,5904"
