Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
12/30/2021,MIS_OMD_PY_All_CPV_USD:0.03_:_GeoIP:PY_vtr:70_va:80_Diageo_JohnnieWalker_90.909_6Ene,261,167,145,127,113,102,143,0,3.37,1.011,2.359
12/31/2021,MIS_OMD_PY_All_CPV_USD:0.03_:_GeoIP:PY_vtr:70_va:80_Diageo_JohnnieWalker_90.909_6Ene,43951,15476,12644,10999,9832,9001,12687,120,297.03,89.109,207.921
01/01/2022,MIS_OMD_PY_All_CPV_USD:0.03_:_GeoIP:PY_vtr:70_va:80_Diageo_JohnnieWalker_90.909_6Ene,51369,18976,15266,13255,11901,10916,15665,145,360.23,108.069,252.161
01/02/2022,MIS_OMD_PY_All_CPV_USD:0.03_:_GeoIP:PY_vtr:70_va:80_Diageo_JohnnieWalker_90.909_6Ene,49157,20048,15864,13500,12000,10883,16570,157,359.14,107.742,251.398
01/03/2022,MIS_OMD_PY_All_CPV_USD:0.03_:_GeoIP:PY_vtr:70_va:80_Diageo_JohnnieWalker_90.909_6Ene,44598,18362,14834,12902,11593,10687,15339,135,352.67,105.801,246.869
01/04/2022,MIS_OMD_PY_All_CPV_USD:0.03_:_GeoIP:PY_vtr:70_va:80_Diageo_JohnnieWalker_90.909_6Ene,28767,22281,20601,19510,18665,17825,19107,112,588.22,176.466,411.754
01/05/2022,MIS_OMD_PY_All_CPV_USD:0.03_:_GeoIP:PY_vtr:70_va:80_Diageo_JohnnieWalker_90.909_6Ene,32369,24974,23082,21879,20947,20158,20053,74,665.21,199.563,465.647
01/06/2022,MIS_OMD_PY_All_CPV_USD:0.03_:_GeoIP:PY_vtr:70_va:80_Diageo_JohnnieWalker_90.909_6Ene,28281,20989,19315,18222,17424,16710,17960,58,551.43,165.429,386.001
