Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
18/12/2021,JRU_Equmedia_ES_All_CPV_USD:0.023_EUR:0.02_GeoIP:ES_vtr:70_va:80_RENFE_Navidad_125.000_29Dic,46.773,12.082,9.337,8.109,7.747,7.486,12.082,93,"172,18",$77.49,$94.69
19/12/2021,JRU_Equmedia_ES_All_CPV_USD:0.023_EUR:0.02_GeoIP:ES_vtr:70_va:80_RENFE_Navidad_125.000_29Dic,46.848,10.643,8.953,8.655,8.207,7.801,10.643,95,"179,42",$80.74,$98.68
20/12/2021,JRU_Equmedia_ES_All_CPV_USD:0.023_EUR:0.02_GeoIP:ES_vtr:70_va:80_RENFE_Navidad_125.000_29Dic,48.625,16.123,14.217,13.351,12.558,12.001,16.123,83,"276,02",$124.20,$151.82
