Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
12/17/2021,ANB_MediaDiamond_ES_All_CPV_USD:0.023_EUR:0.02_GeoIP:ES_vtr:75_va:80_ctr:0.8_Zoco_Pacharan_Preroll_300.000_26Dic,83584,42656,35933,32213,29685,27538,32598,299,633.37,0,633.37
12/18/2021,ANB_MediaDiamond_ES_All_CPV_USD:0.023_EUR:0.02_GeoIP:ES_vtr:75_va:80_ctr:0.8_Zoco_Pacharan_Preroll_300.000_26Dic,137666,41639,34138,30260,27525,25334,33737,370,582.68,0,582.68
12/19/2021,ANB_MediaDiamond_ES_All_CPV_USD:0.023_EUR:0.02_GeoIP:ES_vtr:75_va:80_ctr:0.8_Zoco_Pacharan_Preroll_300.000_26Dic,143570,41447,33991,30343,27822,25851,33152,290,594.57,0,594.57
