Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
15/12/2021,FCA_Starcom_AR_all_CPV_USD:0.044_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_XmasJeanPaulGaultier_59.778_26Dic,13.798,8.792,7.334,6.919,6.655,6.188,6.981,64,"272,27","95,29","176,98"
16/12/2021,FCA_Starcom_AR_all_CPV_USD:0.044_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_XmasJeanPaulGaultier_59.778_26Dic,11.599,8.049,6.723,6.391,5.988,5.672,6.474,65,"249,57","87,35","162,22"
17/12/2021,FCA_Starcom_AR_all_CPV_USD:0.044_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_XmasJeanPaulGaultier_59.778_26Dic,12.579,7.994,6.652,6.358,6.049,5.612,6.507,48,"246,93","86,43","160,5"
18/12/2021,FCA_Starcom_AR_all_CPV_USD:0.044_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_XmasJeanPaulGaultier_59.778_26Dic,11.731,8.123,6.733,6.437,6.223,5.783,6.808,69,"254,45","89,06","165,39"
19/12/2021,FCA_Starcom_AR_all_CPV_USD:0.044_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_XmasJeanPaulGaultier_59.778_26Dic,11.505,8.086,6.870,6.364,6.222,5.776,6.821,64,"254,14","88,95","165,19"
20/12/2021,FCA_Starcom_AR_all_CPV_USD:0.044_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_XmasJeanPaulGaultier_59.778_26Dic,11.952,8.128,6.699,6.441,6.072,5.812,6.739,65,"255,73","89,51","166,22"
21/12/2021,FCA_Starcom_AR_all_CPV_USD:0.044_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_XmasJeanPaulGaultier_59.778_26Dic,11.926,7.677,6.475,6.003,5.788,5.494,6.197,46,"241,74","84,61","157,13"
