Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
10/1/2022,JOS_MaruriGrey_EC_all_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_ConsorcioFilmico_Scream_Intext_15.193_19Ene,12096,3.032,2.738,2.567,2.407,2.265,2647,38,"33,98","10,17","23,81"
11/1/2022,JOS_MaruriGrey_EC_all_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_ConsorcioFilmico_Scream_Intext_15.193_19Ene,7236,2.512,2.297,2.159,2.023,1.903,2219,32,"28,54","8,6","19,94"
12/1/2022,JOS_MaruriGrey_EC_all_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_ConsorcioFilmico_Scream_Intext_15.193_19Ene,7817,2.539,2.304,2.165,2.019,1.903,2211,37,"28,55","8,53","20,02"
13/1/2022,JOS_MaruriGrey_EC_all_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_ConsorcioFilmico_Scream_Intext_15.193_19Ene,8214,2.738,2.492,2.350,2.193,2.066,2407,32,"30,99","9,31","21,68"
10/1/2022,JOS_MaruriGrey_EC_all_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_ConsorcioFilmico_Scream_Slider_22.789_19Ene,11876,3.752,3.446,3.241,3.015,2.832,3297,53,"42,48","12,72","29,76"
11/1/2022,JOS_MaruriGrey_EC_all_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_ConsorcioFilmico_Scream_Slider_22.789_19Ene,11222,3.827,3.543,3.312,3.102,2.902,3387,50,"43,53","13,02","30,51"
12/1/2022,JOS_MaruriGrey_EC_all_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_ConsorcioFilmico_Scream_Slider_22.789_19Ene,11616,3.672,3.384,3.171,2.967,2.778,3251,49,"41,67","12,49","29,18"
13/1/2022,JOS_MaruriGrey_EC_all_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_ConsorcioFilmico_Scream_Slider_22.789_19Ene,11699,3.897,3.569,3.358,3.126,2.935,3413,79,"44,02","13,2","30,82"
