Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
22/12/2021,JOS_DKManagement_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:70_va:80_CentrosComerciales_MallPacifico_54.150_6Ene,301,172,161,152,147,142,141,3,"3,54",0,"3,54"
23/12/2021,JOS_DKManagement_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:70_va:80_CentrosComerciales_MallPacifico_54.150_6Ene,266,158,148,142,136,131,129,3,"3,28",0,"3,28"
24/12/2021,JOS_DKManagement_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:70_va:80_CentrosComerciales_MallPacifico_54.150_6Ene,287,169,156,148,141,134,140,2,"3,36",0,"3,36"
25/12/2021,JOS_DKManagement_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:70_va:80_CentrosComerciales_MallPacifico_54.150_6Ene,406,163,152,146,141,134,135,3,"3,35",0,"3,35"
26/12/2021,JOS_DKManagement_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:70_va:80_CentrosComerciales_MallPacifico_54.150_6Ene,392,167,157,151,145,138,142,1,"3,45",0,"3,45"
27/12/2021,JOS_DKManagement_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:70_va:80_CentrosComerciales_MallPacifico_54.150_6Ene,450,159,148,141,136,131,132,1,"3,28",0,"3,28"
28/12/2021,JOS_DKManagement_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:70_va:80_CentrosComerciales_MallPacifico_54.150_6Ene,274,164,152,143,136,131,143,1,"3,28",0,"3,28"
29/12/2021,JOS_DKManagement_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:70_va:80_CentrosComerciales_MallPacifico_54.150_6Ene,240,126,118,112,107,103,108,2,"2,56",0,"2,56"
