Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
16/12/2021,LSA_SuzukiMotor_CO_ALL_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:70_va:80_SuzukiMotor__38.462_31Dic,5.634,3.123,2.716,2.569,2.450,2.193,2.693,50,"72,37",0,"72,37"
17/12/2021,LSA_SuzukiMotor_CO_ALL_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:70_va:80_SuzukiMotor__38.462_31Dic,5.112,2.769,2.426,2.312,2.145,1.958,2.249,40,"64,61",0,"64,61"
18/12/2021,LSA_SuzukiMotor_CO_ALL_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:70_va:80_SuzukiMotor__38.462_31Dic,4.850,3.351,2.923,2.805,2.594,2.399,2.718,28,"79,17",0,"79,17"
19/12/2021,LSA_SuzukiMotor_CO_ALL_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:70_va:80_SuzukiMotor__38.462_31Dic,5.372,3.387,2.950,2.826,2.648,2.428,2.788,31,"80,12",0,"80,12"
20/12/2021,LSA_SuzukiMotor_CO_ALL_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:70_va:80_SuzukiMotor__38.462_31Dic,4.909,3.347,2.899,2.749,2.600,2.402,2.759,41,"79,27",0,"79,27"
21/12/2021,LSA_SuzukiMotor_CO_ALL_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:70_va:80_SuzukiMotor__38.462_31Dic,4.192,3.056,2.680,2.545,2.387,2.156,2.550,35,"71,15",0,"71,15"
