Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
27/01/2022,851_Nike - Wieden Kennedy_Resolutions 2022_CT_Video_Vidoomy_Pre-roll_:30_18-44_US States_SP+EN_OLV_Pre-Rolls_Cross Platform,50521,25424,23202,21471,19981,18890,20573,167,177.97,0,177.97
28/01/2022,851_Nike - Wieden Kennedy_Resolutions 2022_CT_Video_Vidoomy_Pre-roll_:30_18-44_US States_SP+EN_OLV_Pre-Rolls_Cross Platform,60354,29370,27561,25487,23799,22383,23602,206,205.59,0,205.59
29/01/2022,851_Nike - Wieden Kennedy_Resolutions 2022_CT_Video_Vidoomy_Pre-roll_:30_18-44_US States_SP+EN_OLV_Pre-Rolls_Cross Platform,68258,30268,28334,26245,24590,23034,25092,220,211.88,0,211.88
30/01/2022,851_Nike - Wieden Kennedy_Resolutions 2022_CT_Video_Vidoomy_Pre-roll_:30_18-44_US States_SP+EN_OLV_Pre-Rolls_Cross Platform,68570,29987,28233,26149,24451,22922,25462,227,209.91,0,209.91
